ATP,Location,Tournament,Date,Year,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Agassi A.,Vahaly B.,2,93,7,5,6,3,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Ancic M.,Waske A.,88,120,6,3,6,4,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Arthurs W.,Daniel M.,52,241,6,7,3,6,7,6,6,4,6,4,3,2,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Canas G.,Voltchkov V.,18,71,6,3,7,5,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Coria G.,Clavet F.,45,118,6,4,7,5,6,1,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Costa A.,Prinosil D.,8,213,6,4,6,1,3,6,7,6,,,3,1,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Draper S.,Kim A.,139,116,7,5,6,3,3,6,6,3,,,3,1,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Escude N.,Motomura G.,37,233,6,1,2,6,6,3,6,2,,,3,1,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Ferreira W.,Robredo T.,39,32,5,7,6,0,6,3,6,4,,,3,1,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Squillari F.,4,79,7,6,3,6,6,2,6,3,,,3,1,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Johansson J.,77,221,6,3,7,5,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Furlan R.,Pavel A.,184,25,4,1,,,,,,,,,0,0,Retired
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Gambill J.M.,Llodra M.,33,110,6,2,7,5,6,7,2,6,6,2,3,2,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Gaudio G.,Enqvist T.,21,47,7,5,7,5,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Grosjean S.,Meligeni F.,16,75,6,4,6,2,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Kafelnikov Y.,Morrison J.,27,99,7,6,6,3,4,6,6,3,,,3,1,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Kratochvil M.,Sanguinetti D.,78,48,6,3,6,0,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Kucera K.,Vacek J.,80,111,6,2,6,1,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Lapentti N.,Benneteau J.,30,253,6,0,6,4,6,0,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Lee H.T.,Ferrer D.,67,54,5,7,6,2,6,2,6,3,,,3,1,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Lisnard J.R.,Gaudenzi A.,89,121,6,4,2,6,6,1,4,6,6,1,3,2,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Luczak P.,Savolt A.,178,97,7,5,6,2,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Mantilla F.,Zabaleta M.,73,46,4,6,7,5,6,3,4,6,6,4,3,2,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Moya C.,Norman D.,5,98,7,5,6,3,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Davydenko N.,41,61,6,3,3,6,3,6,6,2,7,5,3,2,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Philippoussis M.,Verkerk M.,104,85,6,4,6,4,6,7,6,3,,,3,1,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Rochus C.,Labadze I.,135,95,6,2,6,3,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Sanchez D.,Pless K.,60,82,5,7,6,3,1,6,6,4,10,8,3,2,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Santoro F.,Phau B.,34,157,6,4,6,3,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Sargsian S.,Calleri A.,94,51,6,4,3,6,7,6,6,0,,,3,1,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Schalken S.,Brasington J.,20,138,6,4,6,2,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,13/01/2003,2003,Grand Slam,Outdoor,Hard,1st Round,5,Srichaphan P.,Melzer J.,14,90,7,5,6,4,1,6,6,0,,,3,1,Completed
